loja;caiu;voltou;tempo
"CENTRAL AGUIAR";"01/04/2024 16:39:21";"01/04/2024 16:39:51";0
"CENTRAL AGUIAR";"01/04/2024 16:43:21";"01/04/2024 16:43:51";0
"CENTRAL AGUIAR";"01/04/2024 16:47:21";"01/04/2024 16:47:51";0
"CENTRAL AGUIAR";"01/04/2024 16:51:21";"01/04/2024 16:51:51";0
"CENTRAL AGUIAR";"01/04/2024 16:55:21";"01/04/2024 16:55:51";0
"CENTRAL AGUIAR";"01/04/2024 16:59:21";"01/04/2024 16:59:51";0
"CENTRAL AGUIAR";"01/04/2024 17:03:22";"01/04/2024 17:03:52";0
"CENTRAL AGUIAR";"01/04/2024 17:04:51";"01/04/2024 17:05:21";1
"CENTRAL AGUIAR";"01/04/2024 17:07:21";"01/04/2024 17:07:51";0
"CENTRAL AGUIAR";"01/04/2024 17:11:21";"01/04/2024 17:11:51";0
"CENTRAL AGUIAR";"01/04/2024 17:17:22";"01/04/2024 17:17:52";0
"CENTRAL AGUIAR";"01/04/2024 17:21:21";"01/04/2024 17:21:51";0
"CENTRAL AGUIAR";"01/04/2024 17:25:21";"01/04/2024 17:25:51";0
"CENTRAL AGUIAR";"01/04/2024 17:29:22";"01/04/2024 17:29:52";0
"CENTRAL AGUIAR";"01/04/2024 17:33:22";"01/04/2024 17:33:52";0
"CENTRAL AGUIAR";"01/04/2024 17:37:22";"01/04/2024 17:37:52";0
"CENTRAL AGUIAR";"01/04/2024 17:41:22";"01/04/2024 17:41:52";0
"CENTRAL AGUIAR";"01/04/2024 17:45:22";"01/04/2024 17:45:52";0
"CENTRAL AGUIAR";"01/04/2024 17:49:22";"01/04/2024 17:49:52";0
"CENTRAL AGUIAR";"01/04/2024 17:53:22";"01/04/2024 17:53:52";0
"CENTRAL AGUIAR";"01/04/2024 17:57:22";"01/04/2024 17:57:52";0
"CENTRAL AGUIAR";"02/04/2024 09:03:16";"02/04/2024 09:03:46";0
"CENTRAL AGUIAR";"02/04/2024 09:05:17";"02/04/2024 09:06:17";1
"CENTRAL AGUIAR";"02/04/2024 09:06:46";"02/04/2024 09:07:18";1
"CENTRAL AGUIAR";"02/04/2024 09:07:47";"02/04/2024 09:08:46";1
"CENTRAL AGUIAR";"02/04/2024 09:09:17";"02/04/2024 09:09:47";0
"CENTRAL AGUIAR";"02/04/2024 09:10:46";"02/04/2024 09:11:18";1
"CENTRAL AGUIAR";"02/04/2024 09:12:47";"02/04/2024 09:13:17";1
"CENTRAL AGUIAR";"02/04/2024 09:14:17";"02/04/2024 09:14:47";0
"CENTRAL AGUIAR";"02/04/2024 09:19:17";"02/04/2024 09:20:18";1
"CENTRAL AGUIAR";"02/04/2024 09:42:48";"02/04/2024 09:43:19";1
"CENTRAL AGUIAR";"02/04/2024 09:49:18";"02/04/2024 09:49:48";0
"CENTRAL AGUIAR";"02/04/2024 09:55:48";"02/04/2024 09:56:19";1
"CENTRAL AGUIAR";"02/04/2024 09:59:48";"02/04/2024 10:00:19";1
"CENTRAL AGUIAR";"02/04/2024 10:03:49";"02/04/2024 10:04:19";1
"CENTRAL AGUIAR";"02/04/2024 10:05:18";"02/04/2024 10:05:48";0
"CENTRAL AGUIAR";"02/04/2024 10:07:49";"02/04/2024 10:08:20";1
"CENTRAL AGUIAR";"02/04/2024 10:09:18";"02/04/2024 10:09:48";0
"CENTRAL AGUIAR";"02/04/2024 10:11:48";"02/04/2024 10:12:19";1
"CENTRAL AGUIAR";"02/04/2024 10:15:48";"02/04/2024 10:16:19";1
"CENTRAL AGUIAR";"02/04/2024 10:21:19";"02/04/2024 10:21:49";0
"CENTRAL AGUIAR";"02/04/2024 10:57:49";"02/04/2024 10:58:20";1
"CENTRAL AGUIAR";"02/04/2024 11:20:49";"02/04/2024 11:21:21";1
"CENTRAL AGUIAR";"02/04/2024 11:25:49";"02/04/2024 11:26:21";1
"CENTRAL AGUIAR";"02/04/2024 11:35:20";"02/04/2024 11:35:49";0
"CENTRAL AGUIAR";"02/04/2024 11:50:50";"02/04/2024 11:51:21";1
"CENTRAL AGUIAR";"02/04/2024 11:54:50";"02/04/2024 11:55:21";1
"CENTRAL AGUIAR";"02/04/2024 12:02:50";"02/04/2024 12:03:20";1
"CENTRAL AGUIAR";"02/04/2024 12:21:21";"02/04/2024 12:21:51";0
"CENTRAL AGUIAR";"02/04/2024 12:35:51";"02/04/2024 12:36:21";1
"CENTRAL AGUIAR";"02/04/2024 12:39:51";"02/04/2024 12:40:22";1
"CENTRAL AGUIAR";"02/04/2024 12:43:51";"02/04/2024 12:44:21";1
"CENTRAL AGUIAR";"02/04/2024 12:48:51";"02/04/2024 12:49:22";1
"CENTRAL AGUIAR";"02/04/2024 12:52:52";"02/04/2024 12:53:22";1
"CENTRAL AGUIAR";"02/04/2024 12:56:51";"02/04/2024 12:57:22";1
"CENTRAL AGUIAR";"02/04/2024 13:05:52";"02/04/2024 13:06:22";1
"CENTRAL AGUIAR";"02/04/2024 13:07:22";"02/04/2024 13:07:52";0
"CENTRAL AGUIAR";"02/04/2024 13:09:52";"02/04/2024 13:10:22";1
"CENTRAL AGUIAR";"02/04/2024 13:13:52";"02/04/2024 13:14:22";1
"CENTRAL AGUIAR";"02/04/2024 13:17:52";"02/04/2024 13:18:22";1
"CENTRAL AGUIAR";"02/04/2024 13:21:53";"02/04/2024 13:22:23";1
"CENTRAL AGUIAR";"02/04/2024 13:23:22";"02/04/2024 13:23:52";0
"CENTRAL AGUIAR";"02/04/2024 13:25:52";"02/04/2024 13:26:22";1
"CENTRAL AGUIAR";"02/04/2024 13:29:52";"02/04/2024 13:30:22";1
"CENTRAL AGUIAR";"02/04/2024 13:33:52";"02/04/2024 13:34:22";1
"CENTRAL AGUIAR";"02/04/2024 13:37:53";"02/04/2024 13:38:23";1
"CENTRAL AGUIAR";"02/04/2024 13:41:53";"02/04/2024 13:42:23";1
"CENTRAL AGUIAR";"02/04/2024 13:45:53";"02/04/2024 13:46:23";1
"CENTRAL AGUIAR";"02/04/2024 13:49:53";"02/04/2024 13:50:23";1
"CENTRAL AGUIAR";"02/04/2024 13:53:53";"02/04/2024 13:54:23";1
"CENTRAL AGUIAR";"02/04/2024 13:55:23";"02/04/2024 13:55:53";0
"CENTRAL AGUIAR";"02/04/2024 13:57:53";"02/04/2024 13:58:23";1
"CENTRAL AGUIAR";"02/04/2024 14:01:53";"02/04/2024 14:02:23";1
"CENTRAL AGUIAR";"02/04/2024 14:05:53";"02/04/2024 14:06:23";1
"CENTRAL AGUIAR";"02/04/2024 14:08:53";"02/04/2024 14:09:23";1
"CENTRAL AGUIAR";"02/04/2024 14:09:54";"02/04/2024 14:10:24";1
